# wavelength, intensity
4.509759000000000242e+02 1.264992196691287329e-03
4.514880990009990001e+02 8.671383864220583507e-04
4.520002980019980328e+02 0.000000000000000000e+00
4.525124970029970086e+02 2.694324005152570756e-03
4.530246960039960413e+02 2.505618473327429589e-03
4.535368950049950172e+02 2.929767068490146936e-03
4.540490940059940499e+02 4.451610117982545550e-03
4.545612930069930258e+02 3.622178342911362269e-03
4.550734920079920585e+02 4.074593748479008425e-03
4.555856910089910343e+02 3.859667658287988575e-03
4.560978900099900102e+02 5.303702648895367543e-03
4.566100890109890429e+02 5.376291819685239011e-03
4.571222880119880188e+02 7.003991501479867390e-03
4.576344870129870515e+02 5.749149135253755517e-03
4.581466860139860273e+02 7.002690306316304569e-03
4.586588850149850600e+02 8.151856848953378809e-03
4.591710840159840359e+02 7.538851103758335316e-03
4.596832830169830686e+02 8.879870482507183291e-03
4.601954820179820445e+02 8.772589891090674247e-03
4.607076810189810203e+02 9.727236065709937707e-03
4.612198800199800530e+02 1.028535754694959517e-02
4.617320790209790289e+02 1.077240595255631907e-02
4.622442780219780616e+02 1.281410506360132311e-02
4.627564770229770374e+02 1.178826374204272782e-02
4.632686760239760702e+02 1.176339715240371647e-02
4.637808750249750460e+02 1.298234939260584433e-02
4.642930740259740219e+02 1.193695132692707342e-02
4.648052730269730546e+02 1.437947551313820821e-02
4.653174720279720304e+02 1.346976679090007220e-02
4.658296710289710632e+02 1.507216405038047310e-02
4.663418700299700390e+02 1.541945455073461153e-02
4.668540690309690717e+02 1.696811633042611192e-02
4.673662680319680476e+02 1.664758759845594988e-02
4.678784670329670803e+02 1.885205483610990704e-02
4.683906660339660561e+02 1.766173948746774594e-02
4.689028650349650320e+02 1.994001544602328618e-02
4.694150640359640647e+02 2.144175818119695848e-02
4.699272630369630406e+02 2.263634511659872936e-02
4.704394620379620733e+02 2.237777402952021918e-02
4.709516610389610491e+02 2.348833576274977908e-02
4.714638600399600818e+02 2.484277140296807518e-02
4.719760590409590577e+02 2.589168077590895886e-02
4.724882580419580904e+02 2.472648094369900990e-02
4.730004570429570663e+02 2.582256056323728802e-02
4.735126560439560421e+02 2.870001850491652948e-02
4.740248550449550748e+02 2.908758998397472512e-02
4.745370540459540507e+02 3.032271267967311459e-02
4.750492530469530834e+02 2.912667938742980953e-02
4.755614520479520593e+02 2.943145915312152250e-02
4.760736510489510920e+02 3.235846713760308357e-02
4.765858500499500678e+02 3.592580105207142382e-02
4.770980490509490437e+02 3.320545356231414946e-02
4.776102480519480764e+02 3.333337328737127903e-02
4.781224470529470523e+02 3.648691772619547247e-02
4.786346460539460850e+02 3.659721356497225297e-02
4.791468450549450608e+02 3.827232305902657922e-02
4.796590440559440935e+02 3.756401668604931327e-02
4.801712430569430694e+02 3.834500552515705124e-02
4.806834420579421021e+02 3.826123179639440847e-02
4.811956410589410780e+02 4.035607131719680385e-02
4.817078400599400538e+02 3.951704671031346094e-02
4.822200390609390865e+02 4.242511848742402947e-02
4.827322380619380624e+02 4.304059150171869741e-02
4.832444370629370951e+02 4.299260403217628618e-02
4.837566360639360710e+02 4.254349602649836609e-02
4.842688350649351037e+02 4.459713247219629362e-02
4.847810340659340795e+02 4.425912786143725020e-02
4.852932330669331122e+02 4.714707636422484083e-02
4.858054320679320881e+02 4.612639223591979976e-02
4.863176310689310640e+02 4.664588000558590741e-02
4.868298300699300967e+02 4.828295696586109437e-02
4.873420290709290725e+02 5.007627823289586416e-02
4.878542280719281052e+02 4.927973629454836246e-02
4.883664270729270811e+02 4.850391853118979357e-02
4.888786260739261138e+02 5.046891367258565103e-02
4.893908250749250897e+02 5.177884015827444175e-02
4.899030240759241224e+02 5.306559909620789384e-02
4.904152230769230982e+02 5.423415652036031598e-02
4.909274220779220741e+02 5.347285601894916779e-02
4.914396210789211068e+02 5.591534019391237315e-02
4.919518200799200827e+02 5.816094757160933382e-02
4.924640190809191154e+02 5.795820994618641059e-02
4.929762180819180912e+02 5.758238978518483153e-02
4.934884170829171239e+02 5.878169673961951280e-02
4.940006160839160998e+02 6.119832689759525240e-02
4.945128150849151325e+02 6.257962746269128684e-02
4.950250140859141084e+02 6.155511736794969796e-02
4.955372130869130842e+02 6.258128241215112075e-02
4.960494120879121169e+02 6.397703400853921307e-02
4.965616110889110928e+02 6.487257043707567172e-02
4.970738100899101255e+02 6.583064075003465521e-02
4.975860090909091014e+02 6.679577493721348957e-02
4.980982080919081341e+02 6.705630160639598769e-02
4.986104070929071099e+02 6.983693035759840073e-02
4.991226060939061426e+02 7.006590241484834947e-02
4.996348050949051185e+02 7.074102359496553527e-02
5.001470040959040944e+02 6.990166992173819926e-02
5.006592030969031271e+02 7.233162738935049185e-02
5.011714020979021029e+02 7.537638265949389571e-02
5.016836010989011356e+02 7.277328290717852144e-02
5.021958000999001115e+02 7.464515524248485634e-02
5.027079991008991442e+02 7.647263229257049433e-02
5.032201981018981201e+02 7.717065569000211567e-02
5.037323971028971528e+02 7.813444431516684829e-02
5.042445961038961286e+02 7.798441665501855413e-02
5.047567951048951045e+02 7.794408310046839483e-02
5.052689941058941372e+02 8.018665797658441896e-02
5.057811931068931131e+02 8.023198030169566286e-02
5.062933921078921458e+02 7.859212656569972144e-02
5.068055911088911216e+02 8.084998964305735447e-02
5.073177901098900975e+02 8.133016912164700574e-02
5.078299891108891302e+02 8.299896047805138677e-02
5.083421881118881629e+02 8.161624847983661724e-02
5.088543871128871388e+02 8.205209950032656130e-02
5.093665861138861146e+02 8.611373358304438841e-02
5.098787851148851473e+02 8.600909883095685105e-02
5.103909841158841232e+02 8.522006537067465526e-02
5.109031831168831559e+02 8.542889616467636005e-02
5.114153821178821318e+02 8.557752423443205914e-02
5.119275811188811076e+02 8.840539356166809970e-02
5.124397801198801972e+02 8.709198985824083417e-02
5.129519791208791730e+02 8.728836352690776124e-02
5.134641781218781489e+02 8.631545705874149599e-02
5.139763771228771247e+02 8.880318832427980258e-02
5.144885761238761006e+02 9.024413161553025697e-02
5.150007751248751902e+02 8.914262008739326504e-02
5.155129741258741660e+02 9.014779000912782891e-02
